"LITHOSTRATIGRAPHIC LOG COMPILATION  —  Published + This Study (Benin Formation, Delta State)  Depths in metres",,,,,,,,,,,,,,,,,
BH_ID,Site Name,Region,"Depth From
(m)","Depth To
(m)","Thickness
(m)","Lithology
(Field Description)",Facies Code,Grain Size,Colour,"Aquifer
Class","Benin Fm
Unit","Data
Quality",Source,,,,
BH-022,Nsukwa-BH-1,Delta Central,5.00,15.00,10.00,Sand (fine),FS,Fine,Yellow,Aquifer,Upper Benin,A,Ofomola et al. 2024,,,,
BH-022,Nsukwa-BH-1,Delta Central,15.00,24.20,9.20,Medium sand,MS,Med,Grey,Aquifer,Upper Benin,A,Ofomola et al. 2024,,,,
BH-022,Nsukwa-BH-1,Delta Central,24.20,43.80,19.60,Coarse sand (main aquifer),CS,Coarse,White-grey,Aquifer,Mid Benin,A,Ofomola et al. 2024,,,,
BH-022,Nsukwa-BH-1,Delta Central,43.80,68.00,24.20,Very coarse sand/gravel,CS-GR,V.Coarse,White,Aquifer,Mid-Lower Benin,A,Ofomola et al. 2024,,,,
BH-040,Issele-Uku-BH-1,Delta North,0.00,30.50,30.50,Topsoil/laterite,TS,–,Red-brown,Aquitard,Upper Benin,A,This study,,,,
BH-040,Issele-Uku-BH-1,Delta North,30.50,79.20,48.70,Medium-coarse sand (main aquifer),MS-CS,M-C,Grey-white,Aquifer,Mid Benin,A,This study,,,,
BH-040,Issele-Uku-BH-1,Delta North,79.20,91.40,12.20,Clay (confining),CL,–,Grey,Aquitard,Mid Benin,A,This study,,,,
BH-040,Issele-Uku-BH-1,Delta North,91.40,109.70,18.30,Fine-medium sand,FS-MS,F-M,White,Aquifer,Mid Benin,A,This study,,,,
BH-040,Issele-Uku-BH-1,Delta North,109.70,128.60,18.90,Clay (confining B),CL,–,Grey,Aquitard,Mid-Lower Benin,A,This study,,,,
BH-040,Issele-Uku-BH-1,Delta North,128.60,160.00,31.40,Medium-coarse sand (deep aquifer),MS-CS,M-C,White,Aquifer,Lower Benin,A,This study,,,,
BH-044,Idumuje-Unor-BH-1,Delta North,0.00,18.30,18.30,Topsoil/laterite,TS,–,Red,Aquitard,Upper Benin,A,This study,,,,
BH-044,Idumuje-Unor-BH-1,Delta North,18.30,59.40,41.10,Medium-coarse sand A,MS-CS,M-C,White-grey,Aquifer,Mid Benin,A,This study,,,,
BH-044,Idumuje-Unor-BH-1,Delta North,59.40,61.00,1.60,Clay lens,CL,–,Grey,Aquitard,Mid Benin,A,This study,,,,
BH-044,Idumuje-Unor-BH-1,Delta North,61.00,90.80,29.80,Medium-coarse sand B,MS-CS,M-C,White,Aquifer,Mid Benin,A,This study,,,,
BH-044,Idumuje-Unor-BH-1,Delta North,90.80,179.80,89.00,Medium-coarse sand (massive),MS-CS,M-C,White,Aquifer,Mid-Lower Benin,A,This study,,,,
BH-044,Idumuje-Unor-BH-1,Delta North,179.80,181.90,2.10,Lignite,LG,–,Black,Aquitard,Lower Benin,A,This study,,,,
BH-044,Idumuje-Unor-BH-1,Delta North,181.90,209.70,27.80,Medium-coarse sand C,MS-CS,M-C,White,Aquifer,Lower Benin,A,This study,,,,
BH-045,Kwale-BH-1,Delta Central,0.00,12.20,12.20,Topsoil/laterite,TS,–,Red,Aquitard,Upper Benin,A,This study,,,,
BH-045,Kwale-BH-1,Delta Central,12.20,86.90,74.70,Medium-coarse sand (main aquifer),MS-CS,M-C,Grey-white,Aquifer,Mid Benin,A,This study,,,,
BH-045,Kwale-BH-1,Delta Central,86.90,96.00,9.10,Gravel (coarse channel lag),GR,V.Coarse-Gravel,White,Aquifer,Mid Benin,A,This study,,,,
BH-045,Kwale-BH-1,Delta Central,96.00,117.30,21.30,Coarse sand-gravel,CS-GR,C-Gravel,White,Aquifer,Mid-Lower Benin,A,This study,,,,
BH-046,Abraka-DS-BH-1,Delta Central,0.00,6.10,6.10,Topsoil/laterite,TS,–,Red,Aquitard,Upper Benin,A,This study,,,,
BH-046,Abraka-DS-BH-1,Delta Central,6.10,12.20,6.10,Silt,SI,Silt,Grey,Aquitard,Upper Benin,A,This study,,,,
BH-046,Abraka-DS-BH-1,Delta Central,12.20,36.60,24.40,Coarse sand-gravel (CS-GR),CS-GR,C-Gravel,White,Aquifer,Mid Benin,A,This study,,,,
BH-046,Abraka-DS-BH-1,Delta Central,36.60,67.10,30.50,Gravel,GR,Gravel,White,Aquifer,Mid Benin,A,This study,,,,
BH-059,Forcados-BH-1,Delta South,0.00,6.10,6.10,Topsoil,TS,–,Red-brown,Aquitard,Deltaic Pl.Sands,A,This study,,,,
BH-059,Forcados-BH-1,Delta South,6.10,39.60,33.50,Silt (thick unit),SI,Silt,Grey,Aquitard,Deltaic Pl.Sands,A,This study,,,,
BH-059,Forcados-BH-1,Delta South,39.60,82.30,42.70,Clay (confining),CL,–,Grey,Aquitard,Deltaic Pl.Sands,A,This study,,,,
BH-059,Forcados-BH-1,Delta South,82.30,88.40,6.10,Fine sand,FS,Fine,Grey-white,Aquifer,Lower Deltaic,A,This study,,,,
BH-059,Forcados-BH-1,Delta South,88.40,106.70,18.30,Silty fine sand,SI-FS,Fine-Silt,Grey,Semi-aquifer,Lower Deltaic,A,This study,,,,
BH-059,Forcados-BH-1,Delta South,106.70,112.80,6.10,Clay,CL,–,Grey,Aquitard,Lower Deltaic,A,This study,,,,
BH-059,Forcados-BH-1,Delta South,112.80,152.40,39.60,Medium-coarse sand,MS-CS,M-C,Grey-white,Aquifer,Lower Deltaic,A,This study,,,,
?  Quality codes: A=confirmed by driller log or pump test; B=VES-inferred with limited validation. Facies codes follow standardised taxonomy.,,,,,,,,,,,,,,,,,
